position,title,episodes,release_date,members,score,details
128.0,Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,119078,8.49,https://myanimelist.net/anime/3297/Aria_the_Origination
129.0,Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,1829330,8.49,https://myanimelist.net/anime/32182/Mob_Psycho_100
130.0,Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,369023,8.49,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
131.0,Tian Guan Ci Fu Special,ONA (1 eps),Feb 2021 - Feb 2021,34536,8.49,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
132.0,Gintama: The Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,61914,8.48,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
133.0,Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,125113,8.47,https://myanimelist.net/anime/37379/Chihayafuru_3
134.0,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,348860,8.47,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
135.0,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,674103,8.46,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
136.0,Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,202847,8.46,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
137.0,Nichijou,TV (26 eps),Apr 2011 - Sep 2011,814888,8.46,https://myanimelist.net/anime/10165/Nichijou
138.0,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,750150,8.46,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
139.0,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,551261,8.46,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
140.0,Zoku Owarimonogatari,Movie (6 eps),Nov 2018 - Nov 2018,205316,8.46,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
141.0,Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,139149,8.46,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
142.0,Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,149339,8.46,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
143.0,Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,1773188,8.45,https://myanimelist.net/anime/20583/Haikyuu
144.0,Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,90395,8.45,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
145.0,Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,446917,8.45,https://myanimelist.net/anime/31181/Owarimonogatari
146.0,Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,623826,8.45,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
147.0,Wu Liuqi Zhi Xuanwu Guo Pian,ONA (10 eps),Jan 2021 - May 2021,43320,8.44,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
148.0,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,984105,8.44,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
149.0,Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,93428,8.44,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
150.0,Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,159895,8.44,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
151.0,Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,148664,8.43,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
152.0,Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,374277,8.43,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
153.0,Mononoke,TV (12 eps),Jul 2007 - Sep 2007,291872,8.43,https://myanimelist.net/anime/2246/Mononoke
154.0,Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,568813,8.43,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
155.0,Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,453648,8.43,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
156.0,Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,40806,8.43,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
157.0,Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,679055,8.43,https://myanimelist.net/anime/37105/Grand_Blue
158.0,Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,332218,8.43,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
159.0,Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,970660,8.42,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
160.0,Major S5,TV (25 eps),Jan 2009 - Jun 2009,67139,8.41,https://myanimelist.net/anime/5028/Major_S5
161.0,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,63479,8.41,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
162.0,Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,464911,8.41,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
